[Header]
; DC Raw Data File (default extension .raw)
; Copyright 2012, Quantum Design, Inc. All rights reserved.
TITLE,EuMnSb2
FILEOPENTIME,3933001230.47258,08/16/2024,8:20 pm
BYAPP,MPMS3 DC RAW DATA,1.0,1.1
INFO,MPMS3 Option Release 1.1.16 Build 433, Release 2.3.4.26,APPNAME
INFO,TCI274,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,EuMnSb2,SAMPLE_MATERIAL
INFO,H//a,SAMPLE_COMMENT
INFO,2.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.26,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,3
STARTUPAXIS,Y1,4
STARTUPAXIS,Y2,5
STARTUPAXIS,Y2,6
STARTUPAXIS,Y2,7
STARTUPAXIS,Y3,8
STARTUPAXIS,Y3,9
,3933001220.91009,27.7468585968018,0.259833186864853
,3933001220.91009,28.0322856903076,0.235073015093803
,3933001220.91009,28.3162860870361,0.208916932344437
,3933001220.91009,28.6014289855957,0.179965332150459
,3933001220.91009,28.8862857818604,0.149812564253807
,3933001220.91009,29.1710014343262,0.117934882640839
,3933001220.91009,29.4557151794434,0.0847798138856888
,3933001220.91009,29.7397136688232,0.0503314100205898
,3933001220.91009,30.0248565673828,0.0153870936483145
,3933001220.91009,30.3101444244385,-0.0202692244201899
,3933001220.91009,30.5947151184082,-0.0557308606803417
,3933001220.91009,30.8798561096191,-0.0912514105439186
,3933001220.91009,31.1642837524414,-0.126020506024361
,3933001220.91009,31.4494285583496,-0.160015508532524
,3933001220.91009,31.7339992523193,-0.192693933844566
,3933001220.91009,32.0189971923828,-0.223881512880325
,3933001220.91009,32.3044281005859,-0.253284871578217
,3933001220.91009,32.5887145996094,-0.279783993959427
,3933001220.91009,32.8734283447266,-0.304669767618179
,3933001220.91009,33.1584281921387,-0.325752764940262
,3933001220.91009,33.4441413879395,-0.344069123268127
,3933001220.91009,33.7292861938477,-0.358056515455246
,3933001220.91009,34.0135726928711,-0.368940860033035
,3933001220.91009,34.2978553771973,-0.375104367733002
,3933001220.91009,34.5834274291992,-0.378058880567551
,3933001220.91009,34.8677139282227,-0.376528829336166
,3933001220.91009,35.1524276733398,-0.371274024248123
,3933001220.91009,35.4372863769531,-0.361633956432343
,3933001220.91009,35.7218589782715,-0.348823070526123
,3933001220.91009,36.0069999694824,-0.332394301891327
,3933001220.91009,36.2914276123047,-0.312422901391983
,3933001220.91009,36.576286315918,-0.288834422826767
,3933001220.91009,36.8612861633301,-0.263094812631607
,3933001220.91009,37.1469993591309,-0.234760582447052
,3933001220.91009,37.4322853088379,-0.204291939735413
,3933001220.91009,37.7182846069336,-0.172460198402405
,3933001220.91009,38.0027160644531,-0.139042869210243
,3933001220.91009,38.288143157959,-0.104820586740971
,3933001220.91009,38.5737152099609,-0.0699343085289001
,3933001220.91009,38.858715057373,-0.0350068658590317
,3933001220.91009,39.1439971923828,0.000265990005573258
,3933001220.91009,39.4292831420898,0.0344797559082508
,3933001220.91009,39.7138557434082,0.068289265036583
,3933001220.91009,39.9984283447266,0.100406348705292
,3933001220.91009,40.2831420898438,0.131906270980835
,3933001220.91009,40.567569732666,0.161126807332039
,3933001220.91009,40.8525695800781,0.18968366086483
,3933001220.91009,41.1372833251953,0.215057149529457
,3933001220.91009,41.4221420288086,0.23914310336113
,3933001220.91009,41.7072868347168,0.260831654071808
,3933001220.91009,41.9918556213379,0.280122339725494
,3933001220.91009,42.2775726318359,0.29682582616806
,3933001220.91009,42.5621452331543,0.311304092407227
,3933001220.91009,42.8461418151855,0.323292016983032
,3933001220.91009,43.1307144165039,0.332911759614944
,3933001220.91009,43.4155731201172,0.34035113453865
,3933001220.91009,43.701000213623,0.345877647399902
,3933001220.91009,43.9850006103516,0.349189192056656
,3933001220.91009,44.2698593139648,0.3507941365242
,3933001220.91009,44.554141998291,0.350502818822861
,3933001220.91009,44.8395690917969,0.348710924386978
,3933001220.91009,45.1248588562012,0.34586575627327
,3933001220.91009,45.4092864990234,0.341655880212784
,3933001220.91009,45.6952896118164,0.337123215198517
,3933001220.91009,45.9795684814453,0.331413686275482
,3933001220.91009,46.2639999389648,0.325812101364136
,3933001220.91009,46.5494270324707,0.318849474191666
,3933001220.91009,46.8341407775879,0.31226721405983
,3933001220.91009,47.1189994812012,0.305066019296646
,3933001220.91009,47.4032859802246,0.298841923475265
,3933001220.91009,47.6885681152344,0.291824400424957
,3933001220.91009,47.9732856750488,0.28594508767128
,3933001220.91009,48.257999420166,0.279630243778229
,3933001220.91009,48.5429992675781,0.274042844772339
,3933001220.91009,48.8278579711914,0.268047541379929
,3933001220.91009,49.1128578186035,0.263210088014603
,3933001220.91009,49.3972854614258,0.258023113012314
,3933001220.91009,49.6822853088379,0.253798007965088
,3933001220.91009,49.9678573608398,0.249556377530098
,3933001220.91009,50.2520027160645,0.245482057332993
,3933001220.91009,50.537425994873,0.242459788918495
,3933001220.91009,50.8221435546875,0.238877192139626
,3933001220.91009,51.1067123413086,0.236202478408813
,3933001220.91009,51.3908576965332,0.233322605490685
,3933001220.91009,51.6757125854492,0.231198042631149
,3933001220.91009,51.9599990844727,0.22857041656971
