[Header]
; DC Raw Data File (default extension .raw)
; Copyright 2012, Quantum Design, Inc. All rights reserved.
TITLE,EuAuAs
FILEOPENTIME,3932964027.31326,08/16/2024,10:00 am
BYAPP,MPMS3 DC RAW DATA,1.0,1.1
INFO,MPMS3 Option Release 1.1.16 Build 433, Release 2.3.4.26,APPNAME
INFO,TCI274,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,EuAuAs,SAMPLE_MATERIAL
INFO,H//c,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.66,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,3
STARTUPAXIS,Y1,4
STARTUPAXIS,Y2,5
STARTUPAXIS,Y2,6
STARTUPAXIS,Y2,7
STARTUPAXIS,Y3,8
STARTUPAXIS,Y3,9
,3932964017.18232,28.0851440429687,1.20714664459229
,3932964017.18232,28.3692855834961,1.2179046869278
,3932964017.18232,28.6537132263184,1.22687447071075
,3932964017.18232,28.9378566741943,1.23380088806152
,3932964017.18232,29.2218570709229,1.23830199241638
,3932964017.18232,29.5064277648926,1.24029648303986
,3932964017.18232,29.7908573150635,1.24012541770935
,3932964017.18232,30.0751438140869,1.23836421966553
,3932964017.18232,30.360143661499,1.2355968952179
,3932964017.18232,30.6438579559326,1.23224604129791
,3932964017.18232,30.9288578033447,1.22843992710114
,3932964017.18232,31.2124290466309,1.22421157360077
,3932964017.18232,31.4965724945068,1.21938121318817
,3932964017.18232,31.7810001373291,1.21372032165527
,3932964017.18232,32.0651435852051,1.2069696187973
,3932964017.18232,32.3484268188477,1.19893085956573
,3932964017.18232,32.6335716247559,1.18947863578796
,3932964017.18232,32.9175720214844,1.17854738235474
,3932964017.18232,33.201286315918,1.166090965271
,3932964017.18232,33.4864273071289,1.15208435058594
,3932964017.18232,33.7702865600586,1.13678956031799
,3932964017.18232,34.0550003051758,1.12060046195984
,3932964017.18232,34.3384284973145,1.10395431518555
,3932964017.18232,34.6225700378418,1.08720648288727
,3932964017.18232,34.9071426391602,1.0706479549408
,3932964017.18232,35.1915740966797,1.05442357063293
,3932964017.18232,35.4764289855957,1.03864479064941
,3932964017.18232,35.7607154846191,1.02334177494049
,3932964017.18232,36.0452842712402,1.00843739509583
,3932964017.18232,36.3297157287598,0.993863701820374
,3932964017.18232,36.6150016784668,0.979509055614471
,3932964017.18232,36.898998260498,0.965312957763672
